id,name,type,address,district,lat,lng,routes
METRO_17,ÇAYYOLU,METRO_STATION,ÜMİT MAH. ANKARALILAR CAD. GORDİON AVM YANI,ÇANKAYA,39.8434,32.7556,M1;M2;M3
METRO_18,KORU,METRO_STATION,KORU MAH. ANKARALILAR CAD. ÜZERİ,ÇANKAYA,39.8345,32.7467,M1;M2;M3
METRO_19,DEVLET MAHALLESİ,METRO_STATION,TUNAHAN MAH. 232.SOKAK,ETİMESGUT,39.8256,32.7378,M1;M2;M3
METRO_20,ERYAMAN 5,METRO_STATION,TUNAHAN MAH. ERYAMAN 5. ETAP 271.SOKAK NO:4,ETİMESGUT,39.8167,32.7289,M1;M2;M3
METRO_21,ERYAMAN 1-2,METRO_STATION,GÖKSU MAH. SELÇUKLULAR CAD. NO.19,ETİMESGUT,39.8078,32.72,M1;M2;M3
METRO_22,MECİDİYE,METRO_STATION,KALABA MAH FATİH CAD. NO:14,KEÇİÖREN,39.9534,32.8812,M4
METRO_23,BELEDİYE,METRO_STATION,GÜÇLÜKAYA MAH. CUMHURİYET CAD. NO: 1-1,KEÇİÖREN,39.9578,32.8876,M4
METRO_24,METEROLOJİ,METRO_STATION,GÜÇLÜKAYA MAH.KIZLARPINARI CAD. NO:31-13,KEÇİÖREN,39.9623,32.8934,M4
METRO_25,DIŞKAPI,METRO_STATION,ŞENLİK MAH.KIZLARPINARI CAD. NO:103-15,KEÇİÖREN,39.9689,32.9012,M4
METRO_26,ASKİ,METRO_STATION,PINARBAŞI MAH.NURİPAMİR CAD. NO: 51-19,KEÇİÖREN,39.9734,32.9067,M4
METRO_27,ATATÜRK KÜLTÜR MERKEZİ,METRO_STATION,PINARBAŞI MAH. AKSARAY CAD. NO: 8 7,KEÇİÖREN,39.945,32.8597,M4
METRO_28,OSB-TÖREKENT,METRO_STATION,GÖKÇEK MAH. AHMED ANDİÇEN CAD. 249. SOKAK,SİNCAN,39.9654,32.7234,M1;M2;M3
METRO_29,GOP,METRO_STATION,OSMAN PAŞA MAH. 253/1 SOKAK NO: 20,SİNCAN,39.9723,32.7156,M1;M2;M3
METRO_30,FATİH,METRO_STATION,FATİH MAH. ÇALKIN CAD. FATİH DEVLET HASTANESİ YANI,SİNCAN,39.9789,32.7089,M1;M2;M3
METRO_31,HARİKALAR DİYARI,METRO_STATION,YUNUS EMRE MAH. BAYKAL SOKAK HARİKALAR DİYARI 7. KAPI,SİNCAN,39.9845,32.7023,M1;M2;M3
METRO_32,İSTANBUL YOLU,METRO_STATION,YENİ BATI MAH. İSTANBUL YOLU ÜZERİ,YENİMAHALLE,39.9612,32.7823,M1;M2;M3
METRO_33,BOTANİK,METRO_STATION,KARDELEN MAH. BAŞKENT BULVARI ÜZERİ,YENİMAHALLE,39.9545,32.7745,M1;M2;M3
METRO_34,MESA,METRO_STATION,KARDELEN MAH. BAŞKENT BULVARI ÜZERİ MESA BATIKENT,YENİMAHALLE,39.9478,32.7667,M1;M2;M3
METRO_35,BATI MERKEZİ,METRO_STATION,KENTKOOP MAH. 1865. SOKAK NO: 2 BATIKENT,YENİMAHALLE,39.9412,32.7589,M1;M2;M3
METRO_36,BATIKENT,METRO_STATION,KENTKOOP MAH. BAŞKENT BULVARI GİMSA YANI,YENİMAHALLE,39.9345,32.7512,M1;M2;M3
METRO_37,OSTİM,METRO_STATION,OSTİM MAH. ALINTERİ BULVARI - 100. YIL BULVARI KESİŞİMİ,YENİMAHALLE,39.9289,32.7893,M1;M2;M3
METRO_38,MACUNKÖY,METRO_STATION,MEHMET AKİF ERSOY MAHALLESİ 296. CAD.,YENİMAHALLE,39.9256,32.7945,M1;M2;M3
METRO_39,HASTANE,METRO_STATION,DEMETEVLER MAH. VATAN CADDESİ - 12. CAD. KESİŞİMİ,YENİMAHALLE,39.9223,32.8012,M1;M2;M3
METRO_40,DEMETEVLER,METRO_STATION,DEMETGÜL MAH. VATAN CADDESİ - 1. CAD. KESİŞİMİ,YENİMAHALLE,39.9189,32.8089,M1;M2;M3
METRO_41,YENİMAHALLE,METRO_STATION,GAYRET MAH. AHMET HİKMET SOK.,YENİMAHALLE,39.9156,32.8156,M1;M2;M3
METRO_42,İVEDİK,METRO_STATION,GAYRET MAH. ŞEHİT CEM ERSEVER CAD. - İVEDİK CAD. KESİŞİMİ,YENİMAHALLE,39.9345,32.8312,M1;M2;M3
METRO_43,AKKÖPRÜ,METRO_STATION,GAZİ MAH. FATİH SULTAN MEHMET BULV. ANKAMALL YANI,YENİMAHALLE,39.9412,32.8423,M1;M2;M3
